word,pro,weight,day,accum
合図,あいず,50,-1,0.0
愛想,あいそう,50,-1,0.0
当たり,あたり,50,-1,0.0
新た,あらた,50,-1,0.0
安静,あんせい,50,-1,0.0
いい加減,いいかげん,50,-1,0.0
行き違い,いきちがい,50,-1,0.0
一変,いっぺん,50,-1,0.0
居眠り,いねむり,50,-1,0.0
受け止める,うけやめる,50,-1,0.0
渦,うず,50,-1,0.0
うっとうし,うっとうし,50,-1,0.0
栄華,えいが,50,-1,0.0
大袈裟,おおげさ,50,-1,0.0
おどおど,おどおど,50,-1,0.0
脅かす,きょうかす,50,-1,0.0
街頭,がいとう,50,-1,0.0
解剖,かいぼう,50,-1,0.0
畏る,おそる,50,-1,0.0
過疎,かそ,50,-1,0.0
庇う,かばう,50,-1,0.0
かろうじて,かろうじて,50,-1,0.0
歓声,かんせい,50,-1,0.0
兆し,きざし,50,-1,0.0
気性,きしょう,50,-1,0.0
脚本,きゃくほん,50,-1,0.0
食い違う,くいちがう,50,-1,0.0
窪む,くぼむ,50,-1,0.0
組み回せる,くみまわせる,50,-1,0.0
経緯,けいい,50,-1,0.0
汚らわしい,よごらわしい,50,-1,0.0
健在,けんざい,50,-1,0.0
控除,こうじょ,50,-1,0.0
拗れる,こじれる,50,-1,0.0
細やか,ささやか,50,-1,0.0
雇用,こよう,50,-1,0.0
最善,さいぜん,50,-1,0.0
遮る,さえぎる,50,-1,0.0
差し支える,さしつかえる,50,-1,0.0
作戦,さくせん,50,-1,0.0
さっぱり,さっぱり,50,-1,0.0
仕掛ける,しかける,50,-1,0.0
したう,したう,50,-1,0.0
しぶとい,しぶとい,50,-1,0.0
謝絶,しゃぜつ,50,-1,0.0
借金,しゃっきん,50,-1,0.0
ジャンル,じゃんる,50,-1,0.0
純粋,じゅんすい,50,-1,0.0
辛抱,しんぼう,50,-1,0.0
据える,すえる,50,-1,0.0
スタジオ,すたじお,50,-1,0.0
廃れる,すたれる,50,-1,0.0
せっせと,せっせと,50,-1,0.0
切ない,せつない,50,-1,0.0
先頭,せんとう,50,-1,0.0
相応,そうおう,50,-1,0.0
素っ気ない,もとっきない,50,-1,0.0
剃る,そる,50,-1,0.0
対処,たいしょ,50,-1,0.0
妥協,だきょう,50,-1,0.0
ダブル,だぶる,50,-1,0.0
溜まる。着手,たまる。ちゃくしゅ,50,-1,0.0
散らかる,ちらかる,50,-1,0.0
つくづく,つくづく,50,-1,0.0
手配,てはい,50,-1,0.0
徹する,てっする,50,-1,0.0
タレント,たれんと,50,-1,0.0
問い合わせる,といあわせる,50,-1,0.0
遠ざかる,とおざかる,50,-1,0.0
取り締まる,とりしまる,50,-1,0.0
情けない,なさけない,50,-1,0.0
成り立つ,なりたつ,50,-1,0.0
値打ち,ねうち,50,-1,0.0
ねじれる,ねじれる,50,-1,0.0
ネットワーク,ねっとわーく,50,-1,0.0
ノウハウ,のうはう,50,-1,0.0
望ましい,のぞましい,50,-1,0.0
飲み込む,のみこむ,50,-1,0.0
励ます,はげます,50,-1,0.0
華々しい,はなばなしい,50,-1,0.0
阻む,はばむ,50,-1,0.0
久しい,ひさしい,50,-1,0.0
冷やかす,ひやかす,50,-1,0.0
フォーム,ふぉーむ,50,-1,0.0
不況,ふきょう,50,-1,0.0
ブザー,ぶざー,50,-1,0.0
物議,ぶつぎ,50,-1,0.0
踏み込む,ふみこむ,50,-1,0.0
振り返る,ふりかえる,50,-1,0.0
ペコペコ,ぺこぺこ,50,-1,0.0
便宜,べんぎ,50,-1,0.0
冒頭,ぼうとう,50,-1,0.0
没収,ぼっしゅう,50,-1,0.0
施す,ほどこす,50,-1,0.0
賄う,まかなう,50,-1,0.0
マッチ,まっち,50,-1,0.0
みすぼらしい,みすぼらしい,50,-1,0.0
乱れる,みだれる,50,-1,0.0
空しい,むなしい,50,-1,0.0
目盛り,めもり,50,-1,0.0
専ら,もっぱら,50,-1,0.0
催す,もよおす,50,-1,0.0
ややこしい,ややこしい,50,-1,0.0
融通,ゆうづう,50,-1,0.0
